,EAR,Gen. Avg. Thresh,Predicted Blink Pairs with Gen. Avg. Thresh,TP with Gen. Avg. Thresh,FP with Gen. Avg. Thresh,FN with Gen. Avg. Thresh,Precision with Gen. Avg. Thresh,Recall with Gen. Avg. Thresh,Two Consecutive Frame Thresh ,Predicted Blink Pairs with TCFT,TP with TCFT,FP with TCFT,FN with TCFT,Precision with TCFT,Recall with TCFT,0.2 Thresh,Predicted Blink Pairs with H2T,TP with H2T,FP with H2T,FN with H2T,Precision with H2T,Recall with H2T,0.25 Thresh,Predicted Blink Pairs with H25T,TP with H25T,FP with H25T,FN with H25T,Precision with H25T,Recall with H25T,0.3 Thresh,Predicted Blink Pairs with H3T,TP with H3T,FP with H3T,FN with H3T,Precision with H3T,Recall with H3T,0.35 Thresh,Predicted Blink Pairs with H35T,TP with H35T,FP with H35T,FN with H35T,Precision with H35T,Recall with H35T
0,0.25351044285698904,0.2570217784597579,"[1, 1]",,"[1, 1]","[27, 34]",0.0,0.0,0.2572207335203619,"[1, 1]",,"[1, 1]","[27, 34]",0.0,0.0,0.2,"[23, 23]",,"[23, 23]",,0.0,0.0,0.25,"[3, 3]",,"[3, 3]","[27, 34]",0.0,0.0,0.3,"[1, 90]",,"[1, 90]","[27, 34]",0.0,0.0,0.35,"[1, 110]",,"[1, 110]","[27, 34]",0.0,0.0
1,0.2653777041641837,,"[3, 3]",,"[3, 3]","[75, 82]",,,,"[3, 3]",,"[3, 3]","[75, 82]",,,,,,,,,,,"[7, 8]",,"[7, 8]","[75, 82]",,,,"[92, 94]",,"[92, 94]","[75, 82]",,,,,,,"[75, 82]",,
2,0.24973020092150516,,"[7, 10]",,"[7, 10]",,,,,"[7, 10]",,"[7, 10]",,,,,,,,,,,,"[10, 10]",,"[10, 10]",,,,,"[96, 105]",,"[96, 105]",,,,,,,,,,
3,0.27519895715357157,,"[22, 28]",,"[22, 28]",,,,,"[22, 28]",,"[22, 28]",,,,,,,,,,,,"[22, 28]",,"[22, 28]",,,,,"[108, 108]",,"[108, 108]",,,,,,,,,,
4,0.26531645925132186,,"[58, 58]",,"[58, 58]",,,,,"[58, 58]",,"[58, 58]",,,,,,,,,,,,"[61, 65]",,"[61, 65]",,,,,,,,,,,,,,,,,
5,0.2709232412902399,,"[60, 65]",,"[60, 65]",,,,,"[60, 65]",,"[60, 65]",,,,,,,,,,,,"[98, 101]",,"[98, 101]",,,,,,,,,,,,,,,,,
6,0.2492821489105198,,"[84, 84]",,"[84, 84]",,,,,"[84, 84]",,"[84, 84]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.249345038304911,,"[98, 102]",,"[98, 102]",,,,,"[98, 102]",,"[98, 102]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.2522112854008152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.24841140691926616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.27918417197210443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
